año,estado,mes,modalidad,cred,monto
,,,Vivienda Usada,59,45009470.74
,,agosto,Vivienda Nueva,189,174731932.6
,,,Vivienda Usada,66,53830141.04
,,septiembre,Vivienda Nueva,131,123117350.6
,,,Vivienda Usada,68,58563243.48
,,octubre,Vivienda Nueva,203,195242479.8
,,,Vivienda Usada,105,79867132.23
,,noviembre,Vivienda Nueva,126,116913420.9
,,,Vivienda Usada,79,56585809.85
,,diciembre,Vivienda Nueva,132,120426722.6
,,,Vivienda Usada,76,55972975.44
,México,enero,Vivienda Nueva,88,60044858.18
,,,Vivienda Usada,15,14013229.5
,,febrero,Vivienda Nueva,221,154353799.3
,,,Vivienda Usada,40,28683556.89
,,marzo,Vivienda Nueva,231,161392005.6
,,,Vivienda Usada,104,67564339.53
,,abril,Vivienda Nueva,285,208388540.3
,,,Vivienda Usada,98,70026893.87
,,mayo,Vivienda Nueva,201,149581402.4
,,,Vivienda Usada,59,37618742.16
,,junio,Vivienda Nueva,184,137908358.1
,,,Vivienda Usada,111,79271438.22
,,julio,Vivienda Nueva,240,167928443.2
,,,Vivienda Usada,111,82251567.46
,,agosto,Vivienda Nueva,299,225764882.2
,,,Vivienda Usada,123,93758770.8
,,septiembre,Vivienda Nueva,185,130974400.8
,,,Vivienda Usada,115,89524518.14
,,octubre,Vivienda Nueva,260,192192381.3
,,,Vivienda Usada,177,136273174.6
,,noviembre,Vivienda Nueva,178,124377936.1
,,,Vivienda Usada,142,98222578
,,diciembre,Vivienda Nueva,161,115188078.5
,,,Vivienda Usada,195,131679706.3
,Nayarit,enero,Vivienda Nueva,16,11177067.98
,,,Vivienda Usada,6,5253592.2
,,febrero,Vivienda Nueva,27,18447946.63
,,,Vivienda Usada,13,7987430.42
,,marzo,Vivienda Nueva,43,29555625.94
,,,Vivienda Usada,31,20058298.96
,,abril,Vivienda Nueva,48,34339097.77
,,,Vivienda Usada,28,17520935.35
,,mayo,Vivienda Nueva,30,22742080.31
,,,Vivienda Usada,25,16847503.37
,,junio,Vivienda Nueva,34,26659867.57
,,,Vivienda Usada,51,35149438.28
,,julio,Vivienda Nueva,36,25189933.23
,,,Vivienda Usada,29,20163901.29
,,agosto,Vivienda Nueva,48,32397201.12
,,,Vivienda Usada,30,22947383.58
,,septiembre,Vivienda Nueva,53,38170146.5
,,,Vivienda Usada,27,18363269.08
,,octubre,Vivienda Nueva,58,41862377.81
,,,Vivienda Usada,53,35163323.45
,,noviembre,Vivienda Nueva,44,33334435.94
,,,Vivienda Usada,38,24580936.06
,,diciembre,Vivienda Nueva,22,15753090.8
,,,Vivienda Usada,37,23987498.91
,Nuevo León,enero,Vivienda Nueva,23,15237435.09
,,,Vivienda Usada,8,4678014.53
,,febrero,Vivienda Nueva,72,37651933.86
,,,Vivienda Usada,12,9212186.03
,,marzo,Vivienda Nueva,83,43619715.8
,,,Vivienda Usada,44,26827160
,,abril,Vivienda Nueva,50,28854122.22
,,,Vivienda Usada,17,10528075.56
,,mayo,Vivienda Nueva,60,40332649.66
,,,Vivienda Usada,37,24825169
,,junio,Vivienda Nueva,51,31615048.35
,,,Vivienda Usada,40,26093217.55
,,julio,Vivienda Nueva,62,42748534.29
,,,Vivienda Usada,34,22205974.7
,,agosto,Vivienda Nueva,87,54842671.45
,,,Vivienda Usada,46,38128736.25
,,septiembre,Vivienda Nueva,107,66993815.06
,,,Vivienda Usada,36,28330087.18
,,octubre,Vivienda Nueva,119,66252331.14
,,,Vivienda Usada,54,44598071.76
,,noviembre,Vivienda Nueva,103,53595522.28
,,,Vivienda Usada,65,44073026
,,diciembre,Vivienda Nueva,45,24710326.39
,,,Vivienda Usada,30,16595455.41
,Oaxaca,enero,Vivienda Nueva,27,17094563.21
,,,Vivienda Usada,33,25402974.53
,,febrero,Vivienda Nueva,35,21594327.87
,,,Vivienda Usada,38,25200635.8
,,marzo,Vivienda Nueva,48,30013427.78
,,,Vivienda Usada,87,57594360.85
,,abril,Vivienda Nueva,49,35692246.87
,,,Vivienda Usada,71,50498648.27
,,mayo,Vivienda Nueva,48,34813791.9
,,,Vivienda Usada,104,71619259.92
,,junio,Vivienda Nueva,48,29645188.26
,,,Vivienda Usada,142,102793025.9
,,julio,Vivienda Nueva,58,36199907.31
,,,Vivienda Usada,77,56683426.94
,,agosto,Vivienda Nueva,27,16185453.41
,,,Vivienda Usada,66,46881019.17
,,septiembre,Vivienda Nueva,39,21318076.55
,,,Vivienda Usada,79,56394953.26
,,octubre,Vivienda Nueva,38,19625890.35
,,,Vivienda Usada,88,62429553.29
,,noviembre,Vivienda Nueva,23,11456217.4
,,,Vivienda Usada,51,35195771.76
,,diciembre,Vivienda Nueva,31,18253672.47
,,,Vivienda Usada,68,45759468.15
,Puebla,enero,Vivienda Nueva,29,19252976.32
,,,Vivienda Usada,19,15840750.62
,,febrero,Vivienda Nueva,67,39856321.46
,,,Vivienda Usada,30,18432089.03
,,marzo,Vivienda Nueva,64,40673086.02
,,,Vivienda Usada,56,34929635.71
,,abril,Vivienda Nueva,99,69339818.65
,,,Vivienda Usada,64,46802386.78
,,mayo,Vivienda Nueva,93,61963929.86
,,,Vivienda Usada,98,72237992.88
,,junio,Vivienda Nueva,97,64989976.86
,,,Vivienda Usada,105,74810310.7
,,julio,Vivienda Nueva,90,62808239.14
,,,Vivienda Usada,60,47128794.48
,,agosto,Vivienda Nueva,124,88206376.11
,,,Vivienda Usada,77,54307338.43
,,septiembre,Vivienda Nueva,100,63724099.96
,,,Vivienda Usada,89,69258972.96
,,octubre,Vivienda Nueva,103,73683846.96
,,,Vivienda Usada,97,69046133.61
,,noviembre,Vivienda Nueva,50,31697457.27
,,,Vivienda Usada,78,50913301.6
,,diciembre,Vivienda Nueva,72,46977433.86
,,,Vivienda Usada,61,43035665.85
,Querétaro,enero,Vivienda Nueva,27,21928002.81
,,,Vivienda Usada,10,9096081.52
,,febrero,Vivienda Nueva,80,55235761.5
,,,Vivienda Usada,7,5543662.03
,,marzo,Vivienda Nueva,53,38659958.69
,,,Vivienda Usada,31,19742556.89
,,abril,Vivienda Nueva,61,42661071.63
,,,Vivienda Usada,21,12704162
,,mayo,Vivienda Nueva,59,47270580.82
,,,Vivienda Usada,18,12956281.51
,,junio,Vivienda Nueva,97,74665909.39
,,,Vivienda Usada,18,12546929.78
,,julio,Vivienda Nueva,115,91875027.03
,,,Vivienda Usada,26,18868936.6
,,agosto,Vivienda Nueva,106,75128425.21
,,,Vivienda Usada,27,23374346.06
,,septiembre,Vivienda Nueva,73,57101365.47
,,,Vivienda Usada,23,15493406.78
,,octubre,Vivienda Nueva,87,66134402.59
,,,Vivienda Usada,45,33744723.57
,,noviembre,Vivienda Nueva,34,23365413.23
,,,Vivienda Usada,30,22641096.03
,,diciembre,Vivienda Nueva,108,85661678.49
,,,Vivienda Usada,27,18511630.18
,Quintana Roo,enero,Vivienda Nueva,47,28406052.77
,,,Vivienda Usada,15,9117210.08
,,febrero,Vivienda Nueva,116,66060955.92
,,,Vivienda Usada,26,16352130.6
,,marzo,Vivienda Nueva,126,85065919.6
,,,Vivienda Usada,30,19489678.84
,,abril,Vivienda Nueva,96,63599391.67
,,,Vivienda Usada,17,12691753.22
,,mayo,Vivienda Nueva,73,44983112.78
,,,Vivienda Usada,12,7714764.16
,,junio,Vivienda Nueva,61,42421421.64
,,,Vivienda Usada,17,10645170.51
,,julio,Vivienda Nueva,110,73243275.81
,,,Vivienda Usada,31,24306656.07
,,agosto,Vivienda Nueva,112,78731850.98
,,,Vivienda Usada,31,21984426.16
,,septiembre,Vivienda Nueva,100,62331371.38
,,,Vivienda Usada,27,20982374.23
,,octubre,Vivienda Nueva,140,89301523.24
,,,Vivienda Usada,37,28935564.09
,,noviembre,Vivienda Nueva,64,36280732.13
,,,Vivienda Usada,39,24825716.93
,,diciembre,Vivienda Nueva,109,72564208.16
,,,Vivienda Usada,39,27338162.95
,San Luis Potosí,enero,Vivienda Nueva,24,18680208.61
